 Bazy danych                                                                                                        |      1 | testPka
 Kurs języka Java                                                                                                   |      3 | 221109
 Kurs języka Java                                                                                                   |      3 | 221116
 Kurs języka Java                                                                                                   |      3 | 221135
 Kurs języka Java                                                                                                   |      3 | 221140
 Kurs języka Java                                                                                                   |      3 | 233104
 Kurs języka Java                                                                                                   |      3 | 233113
 Kurs języka Java                                                                                                   |      3 | 233123
 Kurs języka Java                                                                                                   |      3 | 233184
 Kurs języka Java                                                                                                   |      2 | 233189
 Kurs języka Java                                                                                                   |      3 | 233190
 Kurs języka Java                                                                                                   |      3 | 233213
 Kurs języka Java                                                                                                   |      3 | 241641
 Kurs języka Java                                                                                                   |      3 | 241608
 Kurs języka Java                                                                                                   |      3 | 241623
 Kurs języka Java                                                                                                   |      2 | 241657
 Kurs języka Java                                                                                                   |      3 | 241662
 Kurs języka Java                                                                                                   |      3 | 241665
 Kurs języka Java                                                                                                   |      3 | 241668
 Kurs języka Java                                                                                                   |      2 | 241671
 Kurs języka Java                                                                                                   |      3 | 241676
 Kurs języka Java                                                                                                   |      3 | 241678
 Kurs języka Java                                                                                                   |      2 | 241681
 Kurs języka Java                                                                                                   |      3 | 241687
 Kurs języka Java                                                                                                   |      3 | 241691
 Kurs języka Java                                                                                                   |      1 | 241702
 Kurs języka Java                                                                                                   |      3 | 241712
 Kurs języka Java                                                                                                   |      1 | 241724
 Kurs języka Java                                                                                                   |      3 | 241726
 Kurs języka Java                                                                                                   |      3 | 241728
 Kurs języka Java                                                                                                   |      2 | 241731
 Kurs języka Java                                                                                                   |      3 | 241748
 Kurs języka Java                                                                                                   |      2 | 241752
 Kurs języka Java                                                                                                   |      3 | 241757
 Kurs projektowania aplikacji ASP.NET i Silverlight                                                                 |      1 | 169845
 Kurs projektowania aplikacji ASP.NET i Silverlight                                                                 |      3 | 200054
 Kurs projektowania aplikacji ASP.NET i Silverlight                                                                 |      3 | 200126
 Kurs projektowania aplikacji ASP.NET i Silverlight                                                                 |      3 | 209111
 Kurs projektowania aplikacji ASP.NET i Silverlight                                                                 |      3 | 209179
 Kurs projektowania aplikacji ASP.NET i Silverlight                                                                 |      3 | 221043
 Kurs projektowania aplikacji ASP.NET i Silverlight                                                                 |      3 | 221127
 Kurs projektowania aplikacji ASP.NET i Silverlight                                                                 |      3 | 221135
 Kurs projektowania aplikacji ASP.NET i Silverlight                                                                 |      3 | 221140
 Kurs projektowania aplikacji ASP.NET i Silverlight                                                                 |      3 | 221304
 Kurs projektowania aplikacji ASP.NET i Silverlight                                                                 |      3 | 233123
 Kurs projektowania aplikacji ASP.NET i Silverlight                                                                 |      3 | 221185
 Kurs projektowania aplikacji ASP.NET i Silverlight                                                                 |      3 | 233190
 Kurs projektowania aplikacji ASP.NET i Silverlight                                                                 |      3 | 229274
 Kurs projektowania aplikacji ASP.NET i Silverlight                                                                 |      3 | 234836
 Kurs projektowania aplikacji ASP.NET i Silverlight                                                                 |      2 | 241671
 Kurs projektowania aplikacji ASP.NET i Silverlight                                                                 |      2 | 241678
 Kurs projektowania aplikacji ASP.NET i Silverlight                                                                 |      1 | 241728
 Kurs projektowania aplikacji ASP.NET i Silverlight                                                                 |      3 | 241738
 Algorytmy tekstowe                                                                                                 |      3 | 150864
 Algorytmy tekstowe                                                                                                 |      1 | 169842
 Algorytmy tekstowe                                                                                                 |      3 | 200054
 Algorytmy tekstowe                                                                                                 |      3 | 200063
 Algorytmy tekstowe                                                                                                 |      2 | 200066
 Algorytmy tekstowe                                                                                                 |      3 | 200105
 Algorytmy tekstowe                                                                                                 |      3 | 200130
 Algorytmy tekstowe                                                                                                 |      3 | 209068
 Algorytmy tekstowe                                                                                                 |      3 | 209083
 Algorytmy tekstowe                                                                                                 |      3 | 209109
 Algorytmy tekstowe                                                                                                 |      3 | 209123
 Algorytmy tekstowe                                                                                                 |      3 | 209163
 Algorytmy tekstowe                                                                                                 |      3 | 209179
 Algorytmy tekstowe                                                                                                 |      3 | 220992
 Algorytmy tekstowe                                                                                                 |      3 | 221029
 Algorytmy tekstowe                                                                                                 |      3 | 221043
 Algorytmy tekstowe                                                                                                 |      3 | 221077
 Algorytmy tekstowe                                                                                                 |      3 | 221121
 Algorytmy tekstowe                                                                                                 |      3 | 221140
 Algorytmy tekstowe                                                                                                 |      3 | 221304
 Algorytmy tekstowe                                                                                                 |      3 | 233108
 Algorytmy tekstowe                                                                                                 |      3 | 233140
 Algorytmy tekstowe                                                                                                 |      1 | 233174
 Algorytmy tekstowe                                                                                                 |      2 | 233184
 Algorytmy tekstowe                                                                                                 |      2 | 233189
 Algorytmy tekstowe                                                                                                 |      3 | 233193
 Algorytmy tekstowe                                                                                                 |      3 | 233213
 Algorytmy tekstowe                                                                                                 |      2 | 241593
 Algorytmy tekstowe                                                                                                 |      1 | 241653
 Architektury systemów komputerowych                                                                                |      3 | 186767
 Architektury systemów komputerowych                                                                                |      3 | 226177
 Architektury systemów komputerowych                                                                                |      3 | 226184
 Architektury systemów komputerowych                                                                                |      3 | 221039
 Architektury systemów komputerowych                                                                                |      3 | 221047
 Algebra                                                                                                            |      3 | 233167
 Architektury systemów komputerowych                                                                                |      3 | 221060
 Architektury systemów komputerowych                                                                                |      3 | 221067
 Architektury systemów komputerowych                                                                                |      3 | 221075
 Architektury systemów komputerowych                                                                                |      3 | 221077
 Algorytmy i struktury danych (M)                                                                                   |      3 | 233167
 Architektury systemów komputerowych                                                                                |      3 | 221089
 Architektury systemów komputerowych                                                                                |      3 | 221109
 Architektury systemów komputerowych                                                                                |      3 | 221127
 Architektury systemów komputerowych                                                                                |      3 | 221135
 Architektury systemów komputerowych                                                                                |      3 | 233103
 Analiza numeryczna (L)                                                                                             |      3 | 233167
 Architektury systemów komputerowych                                                                                |      3 | 233171
 Architektury systemów komputerowych                                                                                |      3 | 233183
 Architektury systemów komputerowych                                                                                |      3 | 233242
 Analiza numeryczna (M)                                                                                             |      3 | 233167
 Analiza programów komputerowych                                                                                    |      3 | 233167
 Architektury systemów komputerowych                                                                                |      3 | 233167
 Bazy danych                                                                                                        |      3 | 233167
 Architektury systemów komputerowych                                                                                |      3 | 229274
 Architektury systemów komputerowych                                                                                |      3 | 234836
 Efektywne tworzenie oprogramowania                                                                                 |      2 | 233167
 Inżynieria oprogramowania                                                                                          |      3 | 233167
 Architektury systemów komputerowych                                                                                |      2 | 241593
 Kurs Blendera                                                                                                      |      2 | 233167
 Architektury systemów komputerowych                                                                                |      3 | 241605
 Architektury systemów komputerowych                                                                                |      3 | 241641
 Architektury systemów komputerowych                                                                                |      2 | 241607
 Architektury systemów komputerowych                                                                                |      3 | 241618
 Kurs pracy w systemie Linux                                                                                        |      3 | 233167
 Architektury systemów komputerowych                                                                                |      3 | 241623
 Kurs programowania pod Windows w technologii .NET                                                                  |      2 | 233167
 Architektury systemów komputerowych                                                                                |      3 | 241629
 Architektury systemów komputerowych                                                                                |      3 | 241632
 Kurs projektowania aplikacji ASP.NET i Silverlight                                                                 |      2 | 233167
 Architektury systemów komputerowych                                                                                |      3 | 241637
 Licencjacki projekt programistyczny                                                                                |      3 | 233167
 Architektury systemów komputerowych                                                                                |      3 | 241649
 Architektury systemów komputerowych                                                                                |      3 | 241662
 Architektury systemów komputerowych                                                                                |      3 | 241665
 Architektury systemów komputerowych                                                                                |      3 | 241667
 Architektury systemów komputerowych                                                                                |      3 | 241671
 Architektury systemów komputerowych                                                                                |      3 | 241676
 Programowanie                                                                                                      |      3 | 233167
 Architektury systemów komputerowych                                                                                |      3 | 241678
 Projekt zespołowy 1                                                                                                |      3 | 233167
 Architektury systemów komputerowych                                                                                |      3 | 241691
 Socjotechnika                                                                                                      |      2 | 233167
 Architektury systemów komputerowych                                                                                |      3 | 241709
 Systemy operacyjne                                                                                                 |      3 | 233167
 Testowanie oprogramowania                                                                                          |      1 | 233167
 Zaawansowane technologie Javy                                                                                      |      2 | 233167
 Architektury systemów komputerowych                                                                                |      3 | 241728
 Architektury systemów komputerowych                                                                                |      3 | 241731
 Algorytmy i struktury danych (M)                                                                                   |      3 | 221057
 Analiza numeryczna (M)                                                                                             |      3 | 221057
 Architektury systemów komputerowych                                                                                |      3 | 241738
 Architektury systemów komputerowych                                                                                |      3 | 221057
 Architektury systemów komputerowych                                                                                |      3 | 241746
 Architektury systemów komputerowych                                                                                |      2 | 241752
 Architektury systemów komputerowych                                                                                |      3 | 241755
 Architektury systemów komputerowych                                                                                |      3 | 241757
 Bazy danych                                                                                                        |      3 | 221057
 Buddyzm                                                                                                            |      3 | 221057
 Efektywne tworzenie oprogramowania                                                                                 |      3 | 221057
 Filozofia matematyki                                                                                               |      3 | 221057
 Algorytmy ewolucyjne                                                                                               |      2 | 186816
 Algorytmy ewolucyjne                                                                                               |      3 | 200031
 Inżynieria oprogramowania                                                                                          |      3 | 221057
 Algorytmy ewolucyjne                                                                                               |      2 | 200054
 Algorytmy ewolucyjne                                                                                               |      3 | 200058
 Algorytmy ewolucyjne                                                                                               |      2 | 200066
 Algorytmy ewolucyjne                                                                                               |      3 | 209068
 Języki formalne i złożoność obliczeniowa                                                                           |      3 | 221057
 Algorytmy ewolucyjne                                                                                               |      2 | 209141
 Kurs programowania pod Windows w technologii .NET                                                                  |      3 | 221057
 Algorytmy ewolucyjne                                                                                               |      3 | 209163
 Licencjacki projekt programistyczny                                                                                |      3 | 221057
 Matematyka dyskretna (M)                                                                                           |      3 | 221057
 Rachunek prawdopodobieństwa dla informatyków                                                                       |      3 | 221057
 Rachunek prawdopodobieństwa i statystyka                                                                           |      3 | 221057
 Algorytmy ewolucyjne                                                                                               |      3 | 220992
 Seminarium aproksymacyjno-optymalizacyjno-kombinatoryczne                                                          |      2 | 221057
 Seminarium: Pozycjonowanie stron internetowych                                                                     |      3 | 221057
 Seminarium: Projektowanie obiektowe oprogramowania                                                                 |      3 | 221057
 Algorytmy ewolucyjne                                                                                               |      3 | 221043
 Algorytmy ewolucyjne                                                                                               |      3 | 221055
 Seminarium: Testowanie oprogramowania                                                                              |      3 | 221057
 Algorytmy ewolucyjne                                                                                               |      3 | 221072
 Systemy operacyjne                                                                                                 |      3 | 221057
 Algorytmy ewolucyjne                                                                                               |      3 | 221087
 Algorytmy ewolucyjne                                                                                               |      2 | 221136
 Algorytmy ewolucyjne                                                                                               |      3 | 221140
 Algorytmy ewolucyjne                                                                                               |      2 | 221304
 Algorytmy ewolucyjne                                                                                               |      3 | 233108
 Algorytmy ewolucyjne                                                                                               |      3 | 233176
 Algorytmy ewolucyjne                                                                                               |      3 | 233184
 Algorytmy ewolucyjne                                                                                               |      1 | 233193
 Algorytmy ewolucyjne                                                                                               |      3 | 233217
 Algorytmy ewolucyjne                                                                                               |      2 | 241593
 Algorytmy ewolucyjne                                                                                               |      2 | 241653
 Projekt: Programowanie multimediów, interaktywna grafika 3D                                                        |      1 | 169845
 Projekt: Programowanie multimediów, interaktywna grafika 3D                                                        |      3 | 221001
 Projekt: Programowanie multimediów, interaktywna grafika 3D                                                        |      2 | 221072
 Projekt: Programowanie multimediów, interaktywna grafika 3D                                                        |      3 | 233113
 Projekt: Programowanie multimediów, interaktywna grafika 3D                                                        |      2 | 233217
 Systemy operacyjne                                                                                                 |      3 | 200096
 Systemy operacyjne                                                                                                 |      3 | 204925
 Systemy operacyjne                                                                                                 |      3 | 208923
 Systemy operacyjne                                                                                                 |      3 | 220996
 Systemy operacyjne                                                                                                 |      3 | 221027
 Systemy operacyjne                                                                                                 |      3 | 221039
 Systemy operacyjne                                                                                                 |      3 | 221047
 Systemy operacyjne                                                                                                 |      3 | 221048
 Systemy operacyjne                                                                                                 |      3 | 221056
 Systemy operacyjne                                                                                                 |      3 | 221068
 Systemy operacyjne                                                                                                 |      3 | 221077
 Systemy operacyjne                                                                                                 |      3 | 221089
 Systemy operacyjne                                                                                                 |      3 | 221109
 Systemy operacyjne                                                                                                 |      3 | 221116
 Systemy operacyjne                                                                                                 |      3 | 221144
 Systemy operacyjne                                                                                                 |      3 | 233103
 Systemy operacyjne                                                                                                 |      3 | 233108
 Systemy operacyjne                                                                                                 |      3 | 233113
 Systemy operacyjne                                                                                                 |      3 | 233123
 Systemy operacyjne                                                                                                 |      3 | 233140
 Systemy operacyjne                                                                                                 |      3 | 233141
 Systemy operacyjne                                                                                                 |      3 | 233147
 Systemy operacyjne                                                                                                 |      3 | 233170
 Systemy operacyjne                                                                                                 |      3 | 233174
 Systemy operacyjne                                                                                                 |      3 | 233176
 Systemy operacyjne                                                                                                 |      3 | 233183
 Systemy operacyjne                                                                                                 |      3 | 233184
 Systemy operacyjne                                                                                                 |      3 | 233190
 Systemy operacyjne                                                                                                 |      3 | 233197
 Systemy operacyjne                                                                                                 |      3 | 233217
 Systemy operacyjne                                                                                                 |      3 | 233247
 Systemy operacyjne                                                                                                 |      2 | 241593
 Systemy operacyjne                                                                                                 |      3 | 241605
 Systemy operacyjne                                                                                                 |      3 | 241641
 Systemy operacyjne                                                                                                 |      3 | 241608
 Systemy operacyjne                                                                                                 |      3 | 241618
 Systemy operacyjne                                                                                                 |      3 | 241623
 Systemy operacyjne                                                                                                 |      3 | 241629
 Systemy operacyjne                                                                                                 |      2 | 241632
 Systemy operacyjne                                                                                                 |      3 | 241645
 Systemy operacyjne                                                                                                 |      2 | 241649
 Systemy operacyjne                                                                                                 |      2 | 241662
 Systemy operacyjne                                                                                                 |      1 | 241665
 Systemy operacyjne                                                                                                 |      3 | 241667
 Algorytmy ewolucyjne                                                                                               |      3 | 233173
 Analiza matematyczna 2                                                                                             |      2 | 233173
 Analiza numeryczna (M)                                                                                             |      3 | 233173
 Bazy danych                                                                                                        |      2 | 233173
 Systemy operacyjne                                                                                                 |      1 | 241691
 Systemy operacyjne                                                                                                 |      3 | 241702
 Efektywne tworzenie oprogramowania                                                                                 |      3 | 233173
 Eksploracja danych                                                                                                 |      3 | 233173
 Systemy operacyjne                                                                                                 |      2 | 241728
 Systemy operacyjne                                                                                                 |      3 | 241731
 Inżynieria oprogramowania                                                                                          |      3 | 233173
 Języki formalne i złożoność obliczeniowa                                                                           |      3 | 233173
 Systemy operacyjne                                                                                                 |      3 | 241738
 Kurs języka Java                                                                                                   |      2 | 233173
 Systemy operacyjne                                                                                                 |      3 | 241748
 Systemy operacyjne                                                                                                 |      2 | 241752
 Systemy operacyjne                                                                                                 |      3 | 241755
 Kurs WWW                                                                                                           |      3 | 233173
 Kurs: Ruby on Rails                                                                                                |      2 | 233173
 Metody biometryczne                                                                                                |      1 | 233173
 Systemy rozproszone                                                                                                |      1 | 169845
 Systemy rozproszone                                                                                                |      3 | 200010
 Systemy rozproszone                                                                                                |      3 | 200058
 Podstawy elektroniki, elektrotechniki i miernictwa                                                                 |      3 | 233173
 Systemy rozproszone                                                                                                |      3 | 200126
 Systemy rozproszone                                                                                                |      3 | 226175
 Systemy rozproszone                                                                                                |      3 | 209068
 Systemy rozproszone                                                                                                |      3 | 209083
 Podstawy grafiki komputerowej                                                                                      |      3 | 233173
 Projektowanie obiektowe oprogramowania                                                                             |      3 | 233173
 Przetwarzanie dużych danych                                                                                        |      2 | 233173
 Seminarium: Projektowanie obiektowe oprogramowania                                                                 |      2 | 233173
 Systemy rozproszone                                                                                                |      3 | 209177
 Sieci komputerowe                                                                                                  |      1 | 233173
 Systemy rozproszone                                                                                                |      2 | 221051
 Systemy operacyjne                                                                                                 |      3 | 233173
 Systemy rozproszone                                                                                                |      3 | 221185
 Systemy rozproszone                                                                                                |      2 | 233242
 Systemy rozproszone                                                                                                |      3 | 229277
 Systemy rozproszone                                                                                                |      2 | 241618
 Projektowanie sieci: algorytmy oparte o programy liniowe                                                           |      1 | 169845
 Projektowanie sieci: algorytmy oparte o programy liniowe                                                           |      3 | 186764
 Systemy wbudowane                                                                                                  |      3 | 233173
 Sztuczna inteligencja                                                                                              |      3 | 233173
 Projektowanie sieci: algorytmy oparte o programy liniowe                                                           |      3 | 209096
 Mniejszości narodowe i etniczne w Polsce                                                                           |      1 | 169845
 Mniejszości narodowe i etniczne w Polsce                                                                           |      2 | 186816
 Mniejszości narodowe i etniczne w Polsce                                                                           |      3 | 233108
 Mniejszości narodowe i etniczne w Polsce                                                                           |      3 | 229277
 Algorytmy i struktury danych w sieciach komputerowych                                                              |      1 | 169842
 Algorytmy i struktury danych w sieciach komputerowych                                                              |      1 | 169845
 Algorytmy i struktury danych w sieciach komputerowych                                                              |      3 | 200039
 Algorytmy i struktury danych w sieciach komputerowych                                                              |      2 | 200093
 Algorytmy i struktury danych w sieciach komputerowych                                                              |      3 | 200113
 Algorytmy i struktury danych w sieciach komputerowych                                                              |      1 | 226175
 Algorytmy i struktury danych w sieciach komputerowych                                                              |      3 | 209068
 Algorytmy i struktury danych w sieciach komputerowych                                                              |      3 | 220996
 Algorytmy i struktury danych w sieciach komputerowych                                                              |      3 | 221051
 Algorytmy i struktury danych w sieciach komputerowych                                                              |      3 | 221085
 Algorytmy i struktury danych w sieciach komputerowych                                                              |      2 | 221087
 Algorytmy i struktury danych w sieciach komputerowych                                                              |      3 | 221089
 Algorytmy i struktury danych w sieciach komputerowych                                                              |      2 | 221096
 Algorytmy i struktury danych w sieciach komputerowych                                                              |      2 | 221099
 Algorytmy i struktury danych w sieciach komputerowych                                                              |      3 | 221136
 Algorytmy i struktury danych w sieciach komputerowych                                                              |      3 | 221144
 Algorytmy i struktury danych w sieciach komputerowych                                                              |      3 | 233182
 Algorytmy i struktury danych w sieciach komputerowych                                                              |      2 | 233183
 Algorytmy i struktury danych w sieciach komputerowych                                                              |      3 | 233197
 Algorytmy i struktury danych w sieciach komputerowych                                                              |      2 | 233242
 Algorytmy i struktury danych w sieciach komputerowych                                                              |      2 | 241728
 Algorytmy i struktury danych w sieciach komputerowych                                                              |      2 | 241746
 Efektywne tworzenie oprogramowania                                                                                 |      2 | 200008
 Efektywne tworzenie oprogramowania                                                                                 |      3 | 200031
 Efektywne tworzenie oprogramowania                                                                                 |      3 | 200130
 Efektywne tworzenie oprogramowania                                                                                 |      3 | 204925
 Efektywne tworzenie oprogramowania                                                                                 |      3 | 226175
 Efektywne tworzenie oprogramowania                                                                                 |      3 | 209068
 Efektywne tworzenie oprogramowania                                                                                 |      1 | 209109
 Efektywne tworzenie oprogramowania                                                                                 |      1 | 209123
 Efektywne tworzenie oprogramowania                                                                                 |      3 | 209124
 Efektywne tworzenie oprogramowania                                                                                 |      3 | 209141
 Efektywne tworzenie oprogramowania                                                                                 |      2 | 226184
 Efektywne tworzenie oprogramowania                                                                                 |      3 | 221029
 Efektywne tworzenie oprogramowania                                                                                 |      3 | 221038
 Efektywne tworzenie oprogramowania                                                                                 |      3 | 221039
 Efektywne tworzenie oprogramowania                                                                                 |      3 | 221051
 Efektywne tworzenie oprogramowania                                                                                 |      3 | 221056
 Efektywne tworzenie oprogramowania                                                                                 |      3 | 221068
 Efektywne tworzenie oprogramowania                                                                                 |      3 | 221077
 Efektywne tworzenie oprogramowania                                                                                 |      3 | 221099
 Efektywne tworzenie oprogramowania                                                                                 |      3 | 221108
 Efektywne tworzenie oprogramowania                                                                                 |      2 | 221136
 Efektywne tworzenie oprogramowania                                                                                 |      3 | 221144
 Efektywne tworzenie oprogramowania                                                                                 |      3 | 233108
 Efektywne tworzenie oprogramowania                                                                                 |      3 | 233141
 Efektywne tworzenie oprogramowania                                                                                 |      2 | 233147
 Efektywne tworzenie oprogramowania                                                                                 |      3 | 233172
 Efektywne tworzenie oprogramowania                                                                                 |      2 | 233174
 Efektywne tworzenie oprogramowania                                                                                 |      3 | 229277
 Przemoc seksualna w konfliktach zbrojnych                                                                          |      3 | 169845
